are_images_connected,difficulty_in_understanding,is_text_in_left_image,is_text_in_right_image,left_image,overall_description,right_image,filename
,EASY,,,a person flexing his shoes collection,"The image is ironic, because even when the person has a large collection of shoes even then he is not able to basket a ball in a small height net",a person not able to net a basketball even with a low height net,20240101_174241.jpg
,EASY,,,a grey pigeon flying in the sky,"The image is ironic, because even when the pigeon has wings to fly it is walking even when it seems threatening to its life",a grey pigeon walking under a car,20240101_174719.jpg
,MEDIUM,,,The image shows the living area in a home. The room has a big TV hanging on the wall.,"The image is funny because while the room has a big TV with a big screen, the movie being played on it does not use the entire screen.",The image shows the living area in a home. The room has a big TV hanging on the wall playing a movie. The movie is not using the entire screen and top and bottom areas of the screen is unused.,20240101_172357.jpg
,EASY,,,"a statue with a smile, extending its hands to one side probably directing to some path","The image is ironic, because in the first image a statue is shown with smiling face pointing in some direction but in the second image the same statue is seen as pointing at the wrong path which can cause accidents that too with the smiling face","a statue with a smile, extending its hands to one side probably directing to some path guiding at the wrong side of the road maybe unintentionally misplaced",Screenshot_2024-01-01-18-15-32-614_com.twitter.android-edit.jpg
,EASY,,,a pin being pulled off from a multi pin plug socket,"The image is ironic, because some person is trying to plug out one pin from the multi pin plug but due to tight fitting the multi pin plug socket itself is getting pulled off disconnecting the power supply to other devices even when it is not required",the multi pin plug is getting pulled off from the plug,20240101_173135.jpg
,MEDIUM,TRUE,TRUE,"a video of 4 mins 50 secs on the internet titled ""Life Saving First Aid"".","The image is ironical, as when watching a video of 4 mins 50 secs on ""Life Saving First Aid"", you have to see two ads, the first of which is a lengthy ad of 30 secs, and is a Burger Commercial, which is harmful for health and life, contradictory to the original video.","The first ad of 30 secs of 2 ads, showing a burger, with a sign that says ""Try Now"".",20240101_173518.jpg
,EASY,TRUE,,"The image shows a playlist named ""music I love"" with a green play button. There is also an icon of yellow heart with purple background.","The image is funny because while the playlist is labelled ""music I love"" indicating that all the music in the playlist is very well liked by the user but the user is pressing play next button after listening to a few seconds of one of the audios in the playlist.",The image shows the next button being pressed on a music application with only a few seconds into the current music.,20240101_173936.jpg
,EASY,,,"A person wearing a yellow jacket, with snow falling around him. They look like they are feeling cold as their jacket is covering half their face.","This is funny because on the one hand this person is feeling very cold and has his jacket all the way up to his face, but on the other hand his trousers are torn which kind of makes the jacket redundant.","A person wearing torn up trousers, standing in an area with snowfall. They are also wearing boots and a jacket.",20240101_172414.jpg
,EASY,TRUE,,a woman inside a cafe enjoying a cup of some hot drink while doing her work on a laptop and watching outside through the window,"The image is ironic, because in the first image a woman is seen enjoying her coffee, while watching the injustice happening outside without even having a single thought on the injustice outside and taking some actions or raising some concerns over it","a person at some cafe, while looking at an act of slavery outside through the window",20240101_174813.jpg
,EASY,TRUE,TRUE,a woman posing for a photo on a sea trip on how she is enjoying the trip,"The image is ironic, because in the first image the woman is showing how she is enjoying the sea trip but whereas the second image shows how she is struggling over the trip due to sea sickness which brings up a contrast comparison between the two photos",a woman in a photo on a sea trip shown how she is feeling sick over the trip,20240101_175217.jpg
,HARD,,,There is a cup of soup.,"when we drink the whole soup, then  it is very healthy. But people eliminate some things which they don't like.",Vegetables that are left.,20240101_175730.jpg
,EASY,,,It is a garbage bin,"The images are ironic because even though garbage bins are provided for humans to dispose waste, by habit humans still choose to make surroundings dirty by disposing garbage improperly",It is a human hand sticking chewing gum on public property,20240101_173159.jpg
,EASY,,TRUE,A person sitting in a chair in a beach by the sea shore while working on a laptop.,"The image is ironical, as a person is working on a laptop in a beach, which looks like a soothing and calm environment to work. However, the laptop is about to get discharged, and there is probably no electric supply to keep the laptop open while working on the beach, turning the situation into an inconvenience.","Low charge of battery, showing 3% charge, and an estimated time of 2 minutes remaining until the device switches off due to lack of battery charge.",20240101_181422.jpg
,EASY,,,a person feeling proud after looking at the profit in his stocks investment,"The image is ironic, because a person is seen feeling proud over the profit earned over his investment but the right image shows the whole story how only a small part of his investment journey is shown and the other loss part is ignored",a graph representing loss in some stocks,20240101_175738.jpg
,EASY,TRUE,,It is a warranty sticker being removed with a screwdriver,"The images are funny since it shows how an user chooses to remove a rather important warranty sticker because it does not look good, but chooses to fill his laptop with useless stickers just to decorate the laptop",It is an user sticking multiple stickers on their laptop,20240101_174218.jpg
,EASY,,,a waiter bringing some dish with some stylish posture to the table,"The image is ironic, because  in the first image the waiter is bringing the dish to the table presenting it as some lavish dish but in the second image when the dish is shown in the plate its just a small piece to eat",a dish with only sauce or some cream with a very small piece to eat,20240101_180515.jpg
,EASY,,TRUE,Image showing how using electric powered vehicles helps make the world a greener place,"The images are ironic since they show how even though electric powered cars are touted to be a game changer in the automotive industry and claims are made that they will make the world a greener and cleaner place to live in, the reality is quite different. Battery production causes vast amounts of pollution making such claims very doubtful",Image showing the vast amount of pollution caused during production of batteries,20240101_173624.jpg
,MEDIUM,,,a person wearing white pants and high heels on a road filled with water.,"The image is funny, as when looking from the front, girl's pants are spick and span, while looking from the back, her pants are soaked in water, probably due to walking on a road filled with water in high heels. This is ironical, as the very reason for wearing heels (i.e. looking beautiful) is defeated, due to the heels themselves.","a person wearing white pants and high heels, but her pants are soaked in water when viewed from the back.",20240101_182506.jpg
,EASY,,TRUE,a small tablet of a medicine,the irony in this image is a small thing like a medicine very often has instructions and a manual that is extremely long,a leaflet describing the instructions for a medicine,20240101_173525.jpg
,EASY,TRUE,TRUE,"a person watching TV and increasing the volume of TV, maybe because he is not able to hear the dialogues properly",The action scenes of the movies or TV programs are mostly low in sound and people aren't able to hear them properly but in the action scenes due to the background music and other noise the sound becomes unbearable to some peoples,"a person covering his ears from the loud noise of TV, maybe because of the action scenes",20240101_173232.jpg
,EASY,,,a bathtub by the side of a window which has a very scenic view of lake and mountains.,"The image is ironical, as a bathtub near a window having a very scenic view, becomes misty when someone is bathing, thus making the scenic view blurry.","a woman bathing in a bathtub, while the window glasses are foggy from the steam of the hot water.",20240101_180332.jpg
,EASY,TRUE,TRUE,"The image shows the front side of a card with the text saying ""dreams come true"". There are also various drawings of sun, starts, hearts, ships, cars and eiffel tower on the card.",The overall image is funny because while the front of the card gives hope that the person receiving this card will have one of their dreams come true but opening the card reveals only 5 dollars which is nowhere enough to fulfil any kind of dream.,The image shows a 5 US dollar bill clipped to a card.,20240101_173245.jpg
,EASY,,,It is an egg tray in a  refrigerator,"The images are funny since the show how even though refrigerator manufacturers design in-built egg trays, they are of no use to users who choose to put their entire box of eggs in the refrigerator",It is a box of eggs in a refrigerator,20240101_172853.jpg
,EASY,,,The image shows colorful firecrackers going off in the sky.,"The image is satirical because while firecrackers in the sky look pretty, not everyone likes them. Animals are very scared of the firecrackers.",The image shows two dogs and a cat hiding under furniture.,20240101_172322.jpg
,EASY,TRUE,,a woman having a cup of some hot beverage at some cafe with probably doing some work in the laptop,"The people nowadays are not concerned about the surroundings, everyone is busy in their life, like in the image it is shown that even when the woman notices the issues faced by stray but even then she is not ready to raise her voice or do some action for the cause","a woman looking outside the window at the stray animals, who are probably in search of some food near the garbage bin",20240101_174753.jpg
,EASY,,TRUE,"football players celebrating, probably due a goal their team has scored.","The image is ironical, as the team is celebrating as they think that they have scored a goal, but the sign on the screen says that it is an offside, and not a goal. This is a very common scenario in football matches.","A sign of ""No goal - Offside"".",20240101_175608.jpg
,EASY,,TRUE,It is a mighty king in front of a castle,The images are funny since it shows how even a mighty king must do simple things like using a toilet just like everyone else does,It is a man using the toilet in a castle,20240101_174654.jpg
,EASY,,,"a person holding a ""FASTPASS ENTRANCE"" ticket or token of date ""15/05/23"" with some barcode","The image is ironic, because fast pass entrance was meant for people to pass the gate fast but as more no. of people bought the pass due to which the queue has become longer and it becomes slow and time consuming","people in a long queue in front of ""FASTPASS ENTRANCE""  gate and ""ENTRANCE"" gate is vacant without any queue",20240101_173800.jpg
,EASY,,,a chair.,"The image is ironical, as a woman is sitting by the sink taking a selfie using a mirror, while not using a chair that is actually meant for sitting.",a woman sitting by the sink taking a selfie using a mirror.,20240101_174927.jpg
,EASY,TRUE,,a woman looking through the window from a cafe while enjoying her drink with working on her laptop,"The image is ironic, because in the first image the woman is seen as enjoying the view but in the second image the same woman is seen as looking at a pooping dog",a woman enjoying her drink and working at laptop while looking outside through the window at a person who is out for getting his dog pooped outside,20240101_174737.jpg
,EASY,,,a beautiful vase of full of different beautiful flowers,"The image is ironic, because in the first image a vase full of different beautiful flowers is seen which spreads a feeling of positivity, cheerfulness etc., whereas in the second image when the same vase is put in front of a grave stone it produces a feeling of sorrow",a beautiful vase of full of different beautiful flowers put in front of someone's grave stone,20240101_180319.jpg
,EASY,TRUE,TRUE,Image of a phone's camera module.,The irony here is that people buy phones with flashy camera systems just to click pictures of random and insignificant things.,camera roll of a person's phone,20240101_175231.jpg
TRUE,EASY,TRUE,TRUE,a car at a parking lot and a person is seen getting out of the car,"The image is ironic, because the left door of the car is easily opened with still space left so the car could have been parked more on the left whereas the right door of the car is getting stuck due to the less space between the two cars and the person in facing difficulty in getting himself out but person on the left easily gets out","a car at a parking lot and a person is seen getting out of the car, but the car's doors are touching the neighborhood car, causing inconvenience due to compact space and maybe putting dents on the neighboring car",20240101_180844.jpg
,MEDIUM,,,"Trees and ground covered by snow due to snowfall, with a bird resting on a branch, and the Sun in the sky.","The image is funny, as from far, snow covered mountains look really scenic and completely white, but when zooming in near trees, the ground is partially covered in snow, and is not as scenic anymore.","Snow covered trees, and the ground partially covered in snow.",20240101_175326.jpg
,EASY,TRUE,,"A football team has won some tournament, where the team with the cup are celebrating, along with their fans in the gallery.","The image is ironical, as a team and its are all celebrating on the ground after winning the match, but after the match, the fans are standing in the bus uncomfortably, while the players are travelling inside a carring the cup as well as the prize money, which the fans did not get a dime of.","some people are standing in a bus, while some other people are travelling in a car carrying a cup, while cash notes are flowing out the car window.",20240101_175445.jpg
,EASY,,,a woman wearing a netted top over bikini posing for some photo at beach,"Women wear netted tops while out in the sun on the beach as a beachwear, but when the person removes it, the skin is tanned in the same netted pattern looks weird, and goes against the purpose of using it as beachwear","a woman wearing bikini, with tanned body in some spots, posing for some photo at beach",20240101_180607.jpg
,MEDIUM,,,an art studio with a blank canvas.,"The image is ironical, as even though the art studio contains a palette of a range of color paints, the painting on the canvas is black and white.",an art studio with a black and white painting on a canvas.,20240101_175647.jpg
,EASY,,,a person doing rowing exercise in gym,"The image is ironic, because people often use rowing machine at the gym don't prefer rowing when it comes to boats",a person riding a motorboat,20240101_181319.jpg
,EASY,TRUE,TRUE,The image shows an angry woman tearing a piece of paper titled 'Beauty Standards' that shows the ideal measurements of various parts of a female's body to be called beautiful.,The image is ironic because the woman that is angry about having constraints set on the body parts of a woman to be considered beautiful is the same person who is happily presenting contraints on the height of a man to be considered beautiful.,The image shows a happy woman showing a piece of paper titled 'Beauty Standards' that shows that the ideal height of a male's body should be more than 180cm to be called beautiful.,20240101_173210.jpg
,MEDIUM,,,a room with a sea-facing door,The same sea which gives us a relaxation on a normal day can pose a danger to us sometimes like during a tsunami,high waves in the sea twice of the height of the building near the sea,20240101_175353.jpg
,EASY,TRUE,TRUE,A woman holding a board depicting the round number in a men's boxing match,"The images are ironic since it shows how women are represented in our society. When it comes to a men's boxing match, a woman in revealing clothes is expected to hold out boards depicting round numbers but in a women's boxing match, they do not expect men to do so. It is poking fun at the gender roles that exist in our society",A woman holding a board depicting the round number in a women's boxing match,Screenshot_2024-01-01-17-38-54-117_com.twitter.android-edit.jpg
,MEDIUM,TRUE,TRUE,"a comment on some post made on any social media, probably some clarification or description of some post","The image is ironic, because the person in the first image is trying to explain about some content posted by it and in the second image the people in the comment section has misinterpreted the posted and are declaring or criticising it as an offensive joke rather than knowing the real meaning or logic behind the post","some comments on some post over some social media platform about criticising some meme materials, or videos",20240101_181138.jpg
,EASY,,,It is a woman taking pictures of her food,"The images are funny since they show how a woman chooses to spend time clicking pictures of her food and by the time she is done, the food is already cold and not as appetizing as it was",It is a woman eating cold food,20240101_173104.jpg
,EASY,TRUE,TRUE,"A box of building blocks, secured by the seatbelt in the backseat of a car.","The image is ironical, as an inanimate box of building blocks has been secured by the seatbelt in the backseat of a car, while a person sitting in the backseat is not wearing the seatbelt, while the person would actually need the seatbelt in case there is an accident.","A person sitting in the backseat of a car, not wearing a seatbelt",20240101_180340.jpg
TRUE,EASY,TRUE,,"a cold drink can, named by diet cola, with french fries at the back","The image is ironic, because on one hand the person is consuming diet cola suggesting low on sugar as per label meaning the person is health-conscious but on the other hand the same one is having huge size burger with french fries which suggests the person to be health-ignorant",a huge size burger with french fries,20240101_173043.jpg
,EASY,,,The image shows a garbage collection box with two holes. The hole with the green recycling sign next to it says indicates that all recyclable materials should be thrown into that hole. The hole with a red trash can lable next to it means that all other i.e non recyclable waste should be thrown into this hole. There also is a handle on the front of the box.,"The image is funny because while there are different holes provided to dump different kinds of waste, the separation is meaningless because the underlying bin which is the same. So all kinds of trash is collected together and can not be used for recycling.","The image shows that there is only one common bin below the holes. The hole with the green recycling sign next to it says indicates that all recyclable materials should be thrown into that hole. The hole with a red trash can lable next to it means that all other i.e non recyclable waste should be thrown into this hole. But since there is only one common bin collecti whatever is thrown through these holes, there is no separation.",20240101_180856.jpg
,EASY,,,A man happy with movers who have helped move in a sofa,"The images are funny since they show how even though the hired movers achieve their task of moving in furniture, in the process, the cause damage to the whole house",Images show how movers have damaged a house while moving in furniture,20240101_175155.jpg
,EASY,TRUE,TRUE,"someone riding a bicycle with a map below, highlighting duration and distance covered, maybe by the bicycle","The image is ironic, because the person has to travel 2 hours just to ride his bicycle for 17 minutes","a car carrying a cycle by keeping it at the backside with a map below, highlighting duration and distance covered, maybe by the car",20240101_180345.jpg
,EASY,TRUE,TRUE,It is a truck travelling at 80km/h in a 130km/h zone,"The images are funny since even though the speed limit in the zone is 130km/h, a truck travelling at 81 km/h decides to overtake another travelling 80km/h. The faster truck is barely faster and takes a long time to overtake causing other faster road users to get annoyed.",They are two trucks travelling at 80km/h and 81km/h respectively in a 130km/h zone,20240101_173227.jpg
,EASY,,,It is a set of two images of a man killing a mosquito by hand.,The images are funny since a man trying to reduce his irritation by killing a mosquito bothering  him only causes himself more irritation by soiling his t-shirt with the mosquito blood,It is man with red liquid smeared on his t-shirt,20240101_173317.jpg
,EASY,,,The person shows a man singing on a platform under a spotlight. There are several girls around the platform enjoying his singing and cheering for him. A few girls are taking his photos using their phone and a few also have a poster with heart drawn on it.,"The image is funny because while the girls loves the man, he likes other men instead of women.",The image shows two men holding hands.,20240101_173039.jpg
,MEDIUM,TRUE,,"a person at a men's saloon during his hair cut, playing football game on tv and a person serving him some beverage in cup","The image is ironic, because the sole purpose of the person was to get a hair cut but he became so much engrossed in the game that the barber wasn't able to cut his hairs properly. and even the saloon is providing so many facilities but they don't have a good hairdresser",a person with an average looking haircut,20240101_172951.jpg
,EASY,TRUE,TRUE,"4 Skincare products, arranged aesthetically. A tube labeled ""Cleaner"". A tube labeled ""BIO SCRUB"". A dropper bottle labeled ""HYDRATING GEL"". A jar called ""ANTI-AGING SKINCARE"".","This image is ironic as on the one hand, the presumed person is into skincare and wants to do the best for their skin, which is good, but on the other hand, they are involved in unhealthy habits that will damage their skin like smoking, caffeine and inadequate sleep.","9 cans of red bull, some standing upright, some crushed. Cans have blue and red colors. An ashtray with many cigarette butts in it and has smoke coming out. A banner that says ""Sleep duration 2h 5min"".",20240101_173308.jpg
,MEDIUM,,,a person eating pizza and leaving the crusts on the table,"the irony in this image is that people waste pizza crust by saying that it is too hard, while they eat hard chocolate without any complaints",person eating chocolate bars,20240101_173700.jpg
,EASY,TRUE,TRUE,"a person standing alone holding a sign ""Free Hugs"". The tumbleweeds blowing in the wind further stress on the loneliness.","This image is ironical, as a person holding up a ""Free Hugs"" sign is standing alone, while an inanimate Wi-fi Router giving ""Free Wifi"" is surrounded people trying to connect to it. This shows a growing lack of empathy in our society, while showing our increasing dependence on the digital devices in a virtual world.","A Wi-fi Router with the label ""Free Wifi"" in front of it, surrounded by people trying to connect to it on their mobile devices.",20240101_173605.jpg
,EASY,,,"A person holding a drink with ice cubes, with a straw in the drink.","The image is funny, as the drink seems to be full to begin with, while most of the volume of the drink is occupied by the ice cubes.","A person drinking out of a straw from a drink. The drink is almost finished, and only I've cubes are left.",20240101_172955.jpg
,EASY,,,The image shows a cycling exercise machine.,"The image is funny because while the intention of getting a cycling exercise machine is to do workout, it is being used for hanging clothes and other things on it.","The image shows several things like a carry bag, clothes and towel resting or hanging on a cycling exercise machine.",Screenshot_2024-01-01-17-59-17-340_com.twitter.android-edit.jpg
,EASY,,,"Pair of colorful slippers, having an image of coconut trees probably in a beach by the sea during sunset.","The image is ironical, as when a person wear a pair of slippers with a colorful image, it is almost completely hidden due to the legs of the person wearing the slippers, which counters the point of having such colorful slippers.",A person's legs wearing a pair of slippers.,20240101_175237.jpg
,EASY,TRUE,TRUE,The image shows a map with pins set on places which have been visited by a person.,"The image is satirical because while the man has visited all the place marked on the map, he only seems to have swam in pools in all these differnt countries and has not actually seen these places.","The image shows several photos of a man wearing sunglasses  inside a pool in various countries like Egypt, Portugal, Morocco, Turkey, Greece and Cuba.",20240101_180912.jpg
,EASY,,,it is a trolley luggage bag,"The image is funny because even though the trolley bag is made to make carrying luggage easy, as soon as it encounters a rough surface like cobblestone road, it makes carrying luggage more difficult.",It is a cobblestone road,20240101_182448.jpg
,EASY,,,The image shows a hand holding an open black umbrella during rain. The open umbrella is stopping the raindrops to fall below it.,"The image is funny because while the umbrella helps a person avoid getting wet from rain, when the rain stops and the umbrella is folded, the wet umbrella iteself drips water on the person holding it.","The image shows water dripping from a wet, folded umberlla in a man's hand. The water is all over the man's shoe and the floor around it.",20240101_180952.jpg
,EASY,,,It is a woman and child making funny shapes with vegetables and playing with them,The images are ironic since they show how on one hand humans choose to play with and waste foods like vegetables while the animals are unable to eat enough food and end up starving due to lack of food,It is rabbit crying in a ground full of holes,20240101_174029.jpg
,EASY,,,"A vacuum cleaning machine that goes around the floor on its own and cleans the floor. Everything  around it looks squeaky clean, and is shining.","This is funny, because the machine while doing its job cleans everything but ends up being dirty itself.","Close up of a vacuum cleaning machine that goes around the floor on its own and cleans the floor. Everything  around it looks squeaky clean, and is shining, but it has a lot of dust on it except one line on it that looks clean. A persons fingertip is visible, and it is covered in dust.",20240101_182333.jpg
,MEDIUM,TRUE,,"a social media post showing a woman in a field of flowers, with hashtags such as #naturelovers, #lovenature, #nature.","The image is ironical, as the social ,edia post shows the appreciation of nature, while an image of the feet on the ground stepping on the flower petals shows an unintentional disrespect of nature.",feet stepping on flower petals surrounded by grass.,20240101_181404.jpg
,EASY,,,It is a window with a mosquito net,"The images are funny since it shows how even though we try to keep mosquitoes away from us using methods like mosquito nets, they still find a way to ruin our sleep by biting and making noise",It is a man with many mosquito bites while one out of the many mosquitoes is playing a trumpet into his ear,20240101_181006.jpg
,EASY,,,It is a man eating a pizza,The images are funny since they show how pet owners cannot enjoy any tasty food like pizza without sharing with their pets. The look from the pets makes the owner too guilty if he does not share his food,It is a pet dog with teary eyes,20240101_173642.jpg
,EASY,,,a shopping cart full of items,"The image is ironic, because a car trunk was earlier designed to keep some extra luggage or things but people nowadays get speakers installed in the trunk which in turn reduces the space in the trunk and making it difficult for people to store the extra luggage in the trunk","a black car with its trunk lid open and some boxes, probably speakers, kept in the trunk",20240101_180832.jpg
,EASY,TRUE,TRUE,"The image shows the front gate of a hotel. The name of the hotel is ""HOTEL 5 Stars"" but the instead of the words 5 stars, five stars are next to the word ""HOTEL""",The image is funny because the Hotel's name suggests that it is very good and as it's name itself is Hotel 5 stars but in reality it received a rating of only 3.7 out of 5,The image shows a rating of 3.7 out of 5 to a hotel name hotel 5 stars.,20240101_180706.jpg
,EASY,TRUE,TRUE,"It is a social media post by ""Bob"" showing his support for free speech as a civil right","The images are funny since even though someone like ""Bob"" shows support for free speech as a civil right, he is not ready to deal with the consequences of free speech and chooses to not be spoken to by certain people. He thus blocks people from contacting him on his phone.","It is a list of all the prople ""Bob"" has blocked on his contacts list",20240101_182519.jpg
,EASY,TRUE,,"A bottle of ""Premium Mineral Water"".","This image is ironical, as a bottle of mineral water is being used along with ice cubes from tap water, while the sama tap water could have been instead used.",Pouring a bottle of water into a glass having ice cubes formed by refrigerating tap water.,20240101_175023.jpg
,EASY,,,a man crying on seeing an elephant being chained in a cage in a TV program,"The image is ironic, because the people who get sentimental over imprisoned animal while watching TV shows often feel okay when using animals for labor",a person riding an elephant while taking selfies,20240101_174518.jpg
,EASY,,,Breakfast on bed,"The image is ironical, as having breakfast in bed is a luxury. However, eating while in bed leads to food crumbs, making the bed dirty, along with the need to clean the bed afterwards.",Food crumbs on bed,20240101_181439.jpg
,EASY,TRUE,TRUE,A snowglobe that says 'New York',The image is ironic because the snowglobe says 'New York' while it is made in China,Made in china' label on the snowglobe,20240101_182625.jpg
,EASY,TRUE,TRUE,"It is a tag saying ""not tested on animals""",The images are ironic since a dog shampoo bottle has a sticker indicating that it has not been tested on animals and hence might not be safe for animal use. It is amusing that a product designed to be used by animals is not tested on animals for their safety,It is a dog shampoo bottle.,20240101_180026.jpg
,EASY,TRUE,TRUE,"A colorful pie chart titled ""Fruits"", with different distributions of various fruits like bananas, strawberries, grapes, apples, watermelon, oranges and lemons.",This is funny because the pie chart printout is useless as you cant see any divisions on it because the  printer could not capture the different colors,"A BLACK and WHITE greyscale printout of a pie chart titled ""Fruits"". The pie chart is just one circle with no divisions, but there is a key beside it that mentions various fruits like bananas, strawberries, grapes, apples, watermelon, oranges and lemons.",20240101_175413.jpg
,EASY,,,a beautiful view of red moon around a building,"The image is ironic, because the phone is not able to capture the real beauty of the view which the viewer can see by their naked eyes",a person trying to capture an image of red moon using his phone,20240101_173419.jpg
,EASY,TRUE,,It is a text message asking the recipient to reply back once he/she returns home,The images are funny since they show how a sender wants the recipient to revert once he gets back home but the tired recipient ends up falling asleep completely forgetting about the message while the sender keeps waiting for a reply. The fact that the recipient leaves his phone on silent mode makes it even funnier since the probability of the sender being able to contact him becomes even slimmer.,It is a man sleeping on his bed with his phone on silent mode,20240101_180618.jpg
,EASY,TRUE,TRUE,A mug that looks like a cat's face and has cat's facial features like ears,The irony in the image is that the mug is supposedly cute and quirky but it is completely impractical as a mug as it will hurt its user.,a woman drinking from a mug and crying because something on the mug is poking in her face,20240101_172924.jpg
,EASY,,,It is a woman painting a natural scenery,The images are funny since they show how a peaceful sight like a woman painting a natural scenery looks good only from afar. When looked closely we can see details like flies on the painting which make us uneasy and the scene is not so good to look at anymore.,A number of flies stuck on a painting,20240101_173003.jpg
,MEDIUM,,,two electrical sockets side by side,"The image is funny, as there are two electrical sockets side-by-side, but the adapter is shaped in such a way, that if two adapters are inserted into the two sockets, they will butt into each other, leading to inconvenience.",an electrical adapter,20240101_173752.jpg
,EASY,TRUE,TRUE,"entrance to the ""Print & Copy"" Centre.","The image is ironic, as the waiting slip in a ""Print & Copy"" Centre is printed with insufficient printing ink.","printed waiting slip for the 'Print & Copy"" Centre.",20240101_180807.jpg
,EASY,TRUE,TRUE,A woman entering a Halloween Party wearing a pink top and skirt with a necklace around the neck as costume.,"The image is funny, as the person entering the Halloween Party has a costume that is identical to many other people in the party.","A person entering a Halloween Party wearing a pink top and skirt along with a necklace around the neck as costume, and others in the room have the same costume.",20240101_172913.jpg
,MEDIUM,,,it seems the person is standing in an empty room,"The image is of a metro or railway station which shows that the person in left is standing in the middle at the correct place to board the train, but in the right, the doors of the train are wronglyÃÂ positioned","it seems the image of a railway or metro station, where everyone is boarding the train except one person",20240101_181457.jpg
,EASY,,,a woman cleaning house using vacuum cleaner angrily staring at a man eating chips,"The image is ironic, because in the left image she is seen how sincere she is about keeping her home clean but in the right image she forgets these principles while travelling in the car",a man looking at the breadcrumbs falling while the woman next to him eating the food while driving car,20240101_173729.jpg
,EASY,,,Three happy people with heads full of hair standing behind a sad person with no hair.,"The image is ironical, as person without hair is sad in a normal situation due to the absence of hair, unlike other people with hair. However, in a swimming pool, people with hair have to wear swimming caps, which is uncomfortable, while the person without hair does not need a cap, and is thus, happy in this situation.",Three sad people wearing swimming caps standing behind a happy person with no hair in a swimming pool.,20240101_181343.jpg
,EASY,,,It is a remote being used to operate a TV,"The images are funny since they show how even though TV remotes are supposed to make operating TVs easier, having multiple similar looking remotes  for everything only makes it more difficult for the user to use the right one",It is an user confused between multiple remotes,20240101_180626.jpg
,EASY,,,It is a fireplace,"The images are funny since they show how even though real fireplaces exist, people choose to be lazy and watch fireplaces on television because they dont want the inconveniences of cleaning up, etc. afterwards",It a fireplace being displayed on a television screen,20240103_213052.jpg
